,AUROC,AUPRC,F-measure,Accuracy,Weighted Accuracy,Cost, TN, FP, FN, TP, Sensitivity, Specificity,name,fold
0,0.704,0.462,0.497,0.784,0.719,15587.639,195.0,35.0,13.0,40.0,0.755,0.848,current,0
0,0.695,0.461,0.49,0.781,0.682,16573.895,190.0,32.0,21.0,40.0,0.656,0.856,current,1
0,0.718,0.488,0.282,0.406,0.621,11525.259,53.0,166.0,2.0,62.0,0.969,0.242,current,2
0,0.713,0.475,0.48,0.756,0.679,18273.151,193.0,37.0,15.0,38.0,0.717,0.839,current,3
0,0.72,0.506,0.489,0.781,0.632,19638.961,204.0,19.0,26.0,34.0,0.567,0.915,current,4
