,AUROC,AUPRC,F-measure,Accuracy,Weighted Accuracy,Cost, TN, FP, FN, TP, Sensitivity, Specificity,name,fold
0,0.698,0.464,0.492,0.777,0.716,15590.109,193.0,37.0,13.0,40.0,0.755,0.839,current,0
0,0.7,0.472,0.449,0.696,0.703,14044.204,155.0,67.0,12.0,49.0,0.803,0.698,current,1
0,0.783,0.592,0.571,0.848,0.786,17493.6,201.0,18.0,9.0,55.0,0.859,0.918,current,2
0,0.729,0.503,0.502,0.788,0.673,19392.229,209.0,21.0,18.0,35.0,0.66,0.909,current,3
0,0.711,0.486,0.499,0.774,0.692,17388.639,192.0,31.0,17.0,43.0,0.717,0.861,current,4
