,AUROC,AUPRC,F-measure,Accuracy,Weighted Accuracy,Cost, TN, FP, FN, TP, Sensitivity, Specificity,name,fold
0,0.66,0.641,0.316,0.463,0.812,14638.975,0.0,152.0,0.0,131.0,1.0,0.0,current,0
0,0.681,0.658,0.323,0.477,0.82,14780.318,0.0,148.0,0.0,135.0,1.0,0.0,current,1
0,0.603,0.599,0.445,0.551,0.83,13058.642,16.0,122.0,5.0,140.0,0.966,0.116,current,2
0,0.672,0.664,0.336,0.505,0.836,15063.004,0.0,140.0,0.0,143.0,1.0,0.0,current,3
0,0.674,0.656,0.334,0.502,0.834,15027.668,0.0,141.0,0.0,142.0,1.0,0.0,current,4
