,AUROC,AUPRC,F-measure,Accuracy,Weighted Accuracy,Cost, TN, FP, FN, TP, Sensitivity, Specificity,name,fold
0,0.643,0.631,0.414,0.509,0.818,12618.704,15.0,137.0,2.0,129.0,0.985,0.099,current,0
0,0.648,0.632,0.323,0.477,0.82,14780.318,0.0,148.0,0.0,135.0,1.0,0.0,current,1
0,0.604,0.601,0.339,0.512,0.84,15133.675,0.0,138.0,0.0,145.0,1.0,0.0,current,2
0,0.647,0.635,0.336,0.505,0.836,15063.004,0.0,140.0,0.0,143.0,1.0,0.0,current,3
0,0.644,0.633,0.334,0.502,0.834,15027.668,0.0,141.0,0.0,142.0,1.0,0.0,current,4
